Short_reference,Publication_year,Title,DOI,Journal,Taxonomic_group,Climate_change_stressor,Life_stage_exposed,Life_stage_tested,Trait_category,Trait_details,Additional_comments
Tornabene_et_al_2021,2021,Evaluating corticosterone as a biomarker for amphibians exposed to increased salinity and ambient corticosterone,10.1093/conphys/coab049,Conservation Physiology,Amphibian,Salinity,"Larvae or juveniles, Adults","Larvae or juveniles, Adults",Immune function and stress physiology,corticosterone,NA
Turko_et_al_2020,2020,"Thermal tolerance depends on season, age and body condition in imperilled redside dace Clinostomus elongatus",10.1093/conphys/coaa062,Conservation Physiology,Fish,Temperature,"Larvae or juveniles, Adults","Larvae or juveniles, Adults",Environmental tolerance and preference,CTmax,NA
Penny_et_al_2021,2021,Limited transgenerational effects of environmental temperatures on thermal performance of a cold-adapted salmonid,10.1093/conphys/coab021,Conservation Physiology,Fish,Temperature,"Larvae or juveniles, Adults",Larvae or juveniles,"Environmental tolerance and preference, Energetics and metabolism, Development",body size; oxygen consumption; CTmax,NA
Torres_et_al_2021,2021,Ontogeny of osmoregulation of the Asian shore crab Hemigrapsus sanguineus at an invaded site of Europe,10.1093/conphys/coab094,Conservation Physiology,Other invertebrate,Salinity,"Larvae or juveniles, Adults","Larvae or juveniles, Adults","Environmental tolerance and preference, Osmoregulation",survival; blood biochemistry,NA
Albecker_McCoy_2023,2023,"Responses to saltwater exposure vary across species, populations and life stages in anuran amphibians",10.1093/conphys/coad062,Conservation Physiology,Amphibian,Salinity,Mix (before and after hatching),Larvae or juveniles,"Environmental tolerance and preference, Osmoregulation, Development",survival; body condition; blood biochemistry,NA
Joly_et_al_2023,2023,Smaller herring larval size-at-stage in response to environmental changes is associated with ontogenic processes and stress response,10.1093/conphys/coad072,Conservation Physiology,Fish,"Temperature, pH",Mix (before and after hatching),Larvae or juveniles,"Environmental tolerance and preference, Development",body size; survival,NA
Schultz_et_al_2014,2014,Seasonal blood chemistry response of sub-tropical nearshore fishes to climate change,10.1093/conphys/cou028,Conservation Physiology,Fish,"Temperature, pH",Mix (strictly after hatching),"Larvae or juveniles, Adults",Osmoregulation,blood biochemistry,NA
Enders_and_Durhack_2022,2022,"Metabolic rate and critical thermal maximum CTmax estimates for westslope cutthroat trout, Oncorhynchus clarkii lewisi",10.1093/conphys/coac071,Conservation Physiology,Fish,Temperature,Mix (strictly after hatching),Adults,"Environmental tolerance and preference, Energetics and metabolism",oxygen consumption; CTmax,NA
Komoroske_et_al_2014,2014,Ontogeny influences sensitivity to climate change stressors in an endangered fish,10.1093/conphys/cou008,Conservation Physiology,Fish,"Temperature, Salinity",Mix (strictly after hatching),"Larvae or juveniles, Adults","Environmental tolerance and preference, Energetics and metabolism",survival; CTmax,NA
McPhee_et_al_2023,2023,Body size dictates physiological and behavioural responses to hypoxia and elevated water temperatures in Murray cod (Maccullochella peelii),10.1093/conphys/coac087,Conservation Physiology,Fish,"Temperature, O₂/CO₂",Mix (strictly after hatching),"Larvae or juveniles, Adults","Environmental tolerance and preference, Energetics and metabolism, Osmoregulation, Cardiovascular physiology",CTmax; hypoxia tolerance; blood oxygen transport; blood biochemistry,NA
Brix_and_Grosell_2013,2013,"Characterization of Na+ uptake in the endangered desert pupfish, Cyprinodon macularius (Baird and Girard)",10.1093/conphys/cot005,Conservation Physiology,Fish,Salinity,Mix (strictly after hatching),"Larvae or juveniles, Adults",Osmoregulation,Na+ uptake,NA
Leclair_et_al_2020,2020,Seasonal variation in thermal tolerance of redside dace Clinostomus elongatus,10.1093/conphys/coaa081,Conservation Physiology,Fish,Temperature,Mix (strictly after hatching),"Larvae or juveniles, Adults",Environmental tolerance and preference,CTmax,NA
Park_et_al_2013,2013,"RNA interference of glycerol biosynthesis suppresses rapid cold hardening of the beet armyworm, Spodoptera exigua",10.1242/jeb.092031,Journal of Experimental Biology,Insect,Temperature,Mix (before and after hatching),"Larvae or juveniles, Adults",Environmental tolerance and preference,"survival rate; supercooling capacity; Glycerol content; sorbitol, mannitol, glucose, galactose and trehalose content",NA
Malkeyeva_et_al_2020,2020,Small heat shock protein Hsp67Bc plays a significant role in Drosophila melanogaster cold stress tolerance,10.1242/jeb.219592,Journal of Experimental Biology,Insect,Temperature,Mix (strictly after hatching),"Larvae or juveniles, Adults","Environmental tolerance and preference, Immune function and stress physiology, Reproduction",Hsp67Bc expression; survival rate; Fecundity,NA
Giardini et al 2015,2015,Consequences of calcium decline on the embryogenesis and life history of Daphnia magna,10.1242/jeb.123513,Journal of Experimental Biology,Other invertebrate,pH,Mix (before and after hatching),"Embryos, Larvae or juveniles, Adults","Environmental tolerance and preference, Reproduction, Development",survival rate to different Calcium concentration; clutch size; body size,NA
Simmons_et_al_2022,2022,Ontogeny can provide insight into the roles of natural and sexual selection in cricket cuticular hydrocarbon evolution,10.1242/jeb.244375,Journal of Experimental Biology,Insect,Humidity/Water availability,Mix (strictly after hatching),"Larvae or juveniles, Adults",Osmoregulation,cuticular hydrocarbon richness; water content,NA
Chung_et_al_2018,2018,Patterns of mitochondrial membrane remodeling parallel functional adaptations to thermal stress,10.1242/jeb.174458,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,"Energetics and metabolism, Development",mitochondrial respiration rate; maximum mitochondrial respiratory capacity; mitochondrial phospholipid class distribution; fatty acid composition; cardiolipin molecular species profile; Cardiolipin content; Whole organism mass; Liver mass,NA
Glass_et_al_2024,2024,A thermal performance curve perspective explains decades of disagreements over how air temperature affects the flight metabolism of honey bees,10.1242/jeb.246926,Journal of Experimental Biology,Insect,Temperature,Adults,Adults,Energetics and metabolism,"temperature of flight muscles, flight metabolic rate",NA
