Short_reference,Publication_year,Title,DOI,Journal,Taxonomic_group,Climate_change_stressor,Life_stage_exposed,Life_stage_tested,Trait_category,Trait_details,Additional_comments
Sepúlveda_and_Goulson_2023,2023,Feeling the heat: Bumblebee workers show no acclimation capacity of upper thermal tolerance to simulated heatwaves,10.1016/j.jtherbio.2023.103672,Journal of Thermal Biology,Insect,Temperature,Adults,Adults,Environmental tolerance and preference,critical thermal maxima,NA
Mas_et_al_2023,2023,Dietary supplementation with chia polyphenols alleviates oxidative stress and improves egg nutritional quality in Japanese quails under heat stress,10.1016/j.jtherbio.2022.103421,Journal of Thermal Biology,Bird,"Temperature, Interaction with non-climatic stressor",Adults,"Embryos, Larvae or juveniles, Adults","Energetics and metabolism, Immune function and stress physiology, Reproduction",oxidative stress; lipid peroxidation; fatty acid composition; fecundity; respiratory rate; feed rate; internal temperature;,NA
Videla_et_al_2022,2022,Age matters: Differential effects of the exposure to elevated environmental temperatures on representative variables of the immune system in juvenile and adult female Japanese quail,10.1016/j.jtherbio.2022.103257,Journal of Thermal Biology,Bird,Temperature,"Larvae or juveniles, Adults","Larvae or juveniles, Adults",Immune function and stress physiology,lymphocyte number; inflammation,NA
Saeed_et_al_2021,2021,Rise in temperature causes decreased fitness and higher extinction risks in endemic frogs at high altitude forested wetlands in northern Pakistan,10.1016/j.jtherbio.2020.102809,Journal of Thermal Biology,Amphibian,Temperature,"Larvae or juveniles, Adults","Larvae or juveniles, Adults","Immune function and stress physiology, Development",development time; survival; testosterone levels; estradiol levels,NA
Szafrańska_et_al_2020,2020,Deep body and surface temperature responses to hot and cold environments in the zebra finch,10.1016/j.jtherbio.2020.102776,Journal of Thermal Biology,Bird,Temperature,Adults,Adults,Energetics and metabolism,core body temperature,NA
Bei_et_al_2020,2020,Effects of heat stress on ovarian development and the expression of HSP genes in mice,10.1016/j.jtherbio.2020.102532,Journal of Thermal Biology,Mammal,Temperature,Larvae or juveniles,Adults,"Environmental tolerance and preference, Reproduction",hsp70 expression; ovarian development; ovarian function; growth rate,NA
Agudelo-Cantero_and_Navas_2019,2019,"Interactive effects of experimental heating rates, ontogeny and body mass on the upper thermal limits of anuran larvae",10.1016/j.jtherbio.2019.03.010,Journal of Thermal Biology,Amphibian,Temperature,"Larvae or juveniles, Adults","Larvae or juveniles, Adults",Environmental tolerance and preference,critical thermal maxima,NA
Semsar-kazerouni_and_Verberk_2018,2018,"It's about time: Linkages between heat tolerance, thermal acclimation and metabolic rate at different temporal scales in the freshwater amphipod Gammarus fossarum Koch, 1836",10.1016/j.jtherbio.2018.04.016,Journal of Thermal Biology,Other invertebrate,Temperature,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism",oxygen consumption; critical thermal maxima,NA
Li_et_al_2015,2015,Temperature-dependent physiological and biochemical responses of the marine medaka Oryzias melastigma with consideration of both low and high thermal extremes,10.1016/j.jtherbio.2014.09.011,Journal of Thermal Biology,Fish,Temperature,Larvae or juveniles,Larvae or juveniles,"Environmental tolerance and preference, Energetics and metabolism, Development",oxygen consumption; hsp expression; growth rate,NA
Kutcherov_2015,2015,"Temperature-dependent development in Chrysomela vigintipunctata (Coleoptera: Chrysomelidae), a stenothermal early-season breeder",10.1016/j.jtherbio.2015.08.001,Journal of Thermal Biology,Insect,Temperature,"Larvae or juveniles, Adults","Larvae or juveniles, Adults",Development,development time,NA
Richard_et_al_2023,2023,Thermal dependence of Daphnia life history reveals asymmetries between key vital rates,10.1016/j.jtherbio.2023.103653,Journal of Thermal Biology,Other invertebrate,Temperature,Mix (before and after hatching),"Larvae or juveniles, Adults","Reproduction, Development",development time; fecundity; survival; age at maturity,NA
Cones_et_al_2024,2024,The incubation environment does not explain significant variation in heart rate plasticity among avian embryos,10.1242/jeb.247120,Journal of Experimental Biology,Bird,Temperature,Embryos,"Embryos, Larvae or juveniles","Cardiovascular physiology, Development",heart rate; growth,NA
Meister_et_al_2017,2017,Sources of variance in immunological traits: evidence of congruent latitudinal trends across species,10.1242/jeb.154310,Journal of Experimental Biology,Insect,"Temperature, Interaction with non-climatic stressor",Larvae or juveniles,Larvae or juveniles,"Environmental tolerance and preference, Immune function and stress physiology, Development",phenoloxidase activity; lytic activity; growth rate; development time; pupal mass; survival,NA
Treidel_et_al_2016,2016,Temperature experienced during incubation affects antioxidant capacity but not oxidative damage in hatchling red-eared slider turtles (Trachemys scripta elegans),10.1242/jeb.128843,Journal of Experimental Biology,Reptile,Temperature,Embryos,Larvae or juveniles,Immune function and stress physiology,Redox status; oxidative damage; total antioxidant capacity,NA
Falfushynska_et_al_2020,2020,Effects of intermittent hypoxia on cell survival and inflammatory responses in the intertidal marine bivalves Mytilus edulis and Crassostrea gigas,10.1242/jeb.217026,Journal of Experimental Biology,Other invertebrate,O₂/CO₂,Unclear,Unclear,Immune function and stress physiology,lysosomal membrane stability; lipid peroxidation; cathepsin D activity; mRNA expression,animals were most likely adults but it was not specified (so no distinction made to juveniles)
Watson_et_al_2018,2018,Maternally derived yolk antioxidants buffer the developing avian embryo against oxidative stress induced by hyperoxia,10.1242/jeb.179465,Journal of Experimental Biology,Bird,O₂/CO₂,Embryos,Embryos,Immune function and stress physiology,superoxide dismutase; total glutathione; lipid peroxidation; telomere length; vitamin E levels,hyperoxia (instead of the more common hypoxia) was the treatment condition
Marroquin-Flores_et_al_2022,2022,Temperature fluctuations and estrone sulfate affect gene expression via different mechanisms to promote female development in a species with temperature-dependent sex determination,10.1242/jeb.244211,Journal of Experimental Biology,Reptile,"Temperature, Interaction with non-climatic stressor",Embryos,Embryos,"Reproduction, Development",gene expression of Kdm6b; Dmrt1; Sox9; FoxL2; Cyp19A1,as a response trait I put reproduction and development. I am unsure which one is the right one because the study is about the genes that indicate gonadal development in turtles with temperature dependent sex determination
Hadj-Moussa_et_al_2021,2021,MicroRNA-mediated inhibition of AMPK coordinates tissue-specific downregulation of skeletal muscle metabolism in hypoxic naked mole-rats,10.1242/jeb.249668,Journal of Experimental Biology,Mammal,O₂/CO₂,Larvae or juveniles,Larvae or juveniles,Energetics and metabolism,oxygen consumption rate; carbon dioxide production; respiratory exchange ratio; protein expression of 5'-AMP kinase; glucose transporters; glycogen synthase; phosphorylated glycogen synthase; acetyl-CoA carboxylase; phosphorylated acetyl-CoA carboxylase,I indicate that they were juveniles but what is actually said in the paper is: non-breeding naked mole-rats that were 1–2 years old. Non-breeding (subordinate) naked mole-rats do not undergo sexual development or express sexual hormones
Martino_et_al_2020,2020,Experimental support towards a metabolic proxy in fish using otolith carbon isotopes,10.1242/jeb.217091,Journal of Experimental Biology,Fish,Temperature,Larvae or juveniles,Larvae or juveniles,Energetics and metabolism,standard metabolic rate; maximum metabolic rate; absolute aerobic scope; delta C-13 and delta O-18 isotope analyses;,NA
Lague_et_al_2017,2017,Divergent respiratory and cardiovascular responses to hypoxia in bar-headed geese and Andean birds,10.1242/jeb.168799,Journal of Experimental Biology,Bird,O₂/CO₂,Adults,Adults,"Energetics and metabolism, Osmoregulation, Cardiovascular physiology",oxygen consumption; total ventilation; air convection requirement; lung oxygen extraction; tidal volume; breathing frequency; arterial oxygen content; venous oxygen content; arterial acid-base status; cardiac output; heart rate; stroke volume; arterial pressure; total peripheral resistance; blood convection requirement; tissue oxygen extraction,NA
van_den_Thillart_et_al_2018,2018,Hypoxia-induced changes in hemoglobins of Lake Victoria cichlids,10.1242/jeb.177832,Journal of Experimental Biology,Fish,O₂/CO₂,Larvae or juveniles,Larvae or juveniles,"Cardiovascular physiology, Development",isohemoglobin; growth rates; O2-affinity; oxygen saturation in hemoglobin;,not sure if the measured traits (except growth rate) should be listed under metabolism rather than cardiovascular physiology
Baloun_et_al_2019,2019,Energetics of migratory bats during stopover: a test of the torpor-assisted migration hypothesis,10.1242/jeb.196691,Journal of Experimental Biology,Bird,Temperature,Adults,Adults,Energetics and metabolism,body composition; energy expenditure; energy use,NA
Cox_et_al_2023,2023,A diminutive snake species can maintain regional heterothermy in both and thermal environments,10.1242/jeb.245380,Journal of Experimental Biology,Reptile,Temperature,Adults,Adults,Environmental tolerance and preference,Thermal preference,NA
Wen_et_al_2020,2020,Thermo-TRPs and gut microbiota are involved in thermogenesis and energy metabolism during low temperature exposure of obese mice,10.1242/jeb.218974,Journal of Experimental Biology,Mammal,"Temperature, Interaction with non-climatic stressor",Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism, Development",Body mass; energy intake; thermal preference; resting metabolic rate,NA
Bennett_et_al_2018,2018,"Cues for cavity nesters: investigating relevant zeitgebers for emerging leafcutting bees, Megachile rotundata",10.1242/jeb.175406,Journal of Experimental Biology,Insect,"Temperature, Interaction with non-climatic stressor",Larvae or juveniles,Adults,Development,day of emergence,NA
Goh_et_al_2021,2021,Daily temperature cycles prolong lifespan and have sex-specific effects on peripheral clock gene expression in Drosophila melanogaster,10.1242/jeb.233213,Journal of Experimental Biology,Insect,Temperature,"Larvae or juveniles, Adults",Adults,"Environmental tolerance and preference, Development",lifespan; gene expression heat shock proteins,NA
Netherton_et_al_2014,2014,Physiological correlates of symbiont migration during bleaching of two octocoral species,10.1242/jeb.095414,Journal of Experimental Biology,Other invertebrate,"Temperature, Interaction with non-climatic stressor",Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism",oxygen metabolism; reactive oxygen species; redox state,NA
Brzezinski_and_MacMillan_2020,2020,Chilling induces unidirectional solute leak through the locust gut epithelia,10.1242/jeb.215475,Journal of Experimental Biology,Insect,Temperature,Adults,Adults,"Environmental tolerance and preference, Osmoregulation",mortality; paracellular leaks; loss of ion balance;,NA
Crombie_et_al_2016,2016,Inhibition of the oxidative stress response by heat stress in Caenorhabditis elegans,10.1242/jeb.135327,Journal of Experimental Biology,Other invertebrate,"Temperature, O₂/CO₂",Mix (strictly after hatching),"Larvae or juveniles, Adults",Environmental tolerance and preference,survival; heat shock gene expression; oxidative stress gene expression;,NA
Kern_et_al_2015,2015,Physiological responses of ectotherms to daily temperature variation,10.1242/jeb.123166,Journal of Experimental Biology,Amphibian,Temperature,"Embryos, Larvae or juveniles",Larvae or juveniles,"Environmental tolerance and preference, Energetics and metabolism, Development","mortality; development; body condition; resting metabolic rate; metabolic enzyme activity (LDH, CS, COX); critical thermal maximum;",NA
Plasman_et_al_2019,2019,Environmental temperature alters the overall digestive energetics and differentially affects dietary protein and lipid use in a lizard,10.1242/jeb.194480,Journal of Experimental Biology,Reptile,Temperature,Adults,Adults,Energetics and metabolism,metabolic rate; nutrient assimilation;,NA
Shipley_et_al_2016,2016,Asymmetric energetic costs in reciprocal-cross hybrids between carnivorous mice (Onychomys),10.1242/jeb.148890,Journal of Experimental Biology,Mammal,"Temperature, Interaction with non-climatic stressor",Adults,Adults,Energetics and metabolism,resting metabolic rate;,NA
Fossen_et_al_2019,2019,Genetic and environmental effects on the scaling of metabolic rate with body size,10.1242/jeb.193243,Journal of Experimental Biology,Other invertebrate,"Temperature, Interaction with non-climatic stressor",Mix (before and after hatching),Larvae or juveniles,Energetics and metabolism,oxygen consumption rate;,NA
Wood_and_Grosell_2015,2015,Electrical aspects of the osmorespiratory compromise: TEP responses to hypoxia in the euryhaline killifish (Fundulus heteroclitus) in freshwater and seawater,10.1242/jeb.122176,Journal of Experimental Biology,Fish,"O₂/CO₂, Salinity",Adults,Adults,Osmoregulation,transepithellial potential;,NA
McKenzie_et_al_2015,2015,To boldly gulp: standard metabolic rate and boldness have context-dependent influences on risk-taking to breathe air in a catfish,10.1242/jeb.122903,Journal of Experimental Biology,Fish,O₂/CO₂,Larvae or juveniles,Larvae or juveniles,Energetics and metabolism,resting metabolic rate; standard metabolic rate;,NA
Wada_et_al_2015,2015,"Transient and permanent effects of suboptimal incubation temperatures on growth, metabolic rate, immune function and adrenocortical responses in zebra finches",10.1242/jeb.114108,Journal of Experimental Biology,Bird,Temperature,Embryos,Larvae or juveniles,"Energetics and metabolism, Immune function and stress physiology, Development",hatching success; post-hatch survival; body mass; metabolic rate; adrenocortical response; innate immunity;,I counted that hatching success is not a measure on embryos but the later life stage
Polan_et_al_2020,2020,Early-life hypoxia alters adult physiology and reduces stress resistance and lifespan in Drosophila,10.1242/jeb.226027,Journal of Experimental Biology,Insect,O₂/CO₂,Larvae or juveniles,Adults,"Environmental tolerance and preference, Energetics and metabolism, Development",body mass; survival; insulin levels; TOR levels; nutrient storage; lipid mobilization,In this study the larvae were exposed to hypoxia and then reared to adulthood in normoxia. In part of the study the adults were then exposed to an additional stressor (starvation). I added this not to the stressors as the larvae were only exposed to hypoxia and it's effect on adulthood was the main question including if the early life exposure would lead to reduced starvation tolerance
Yang_et_al_2023,2023,Limits to sustained energy intake. XXXIII. Thyroid hormones play important roles in milk production but do not define the heat dissipation limit in Swiss mice,10.1242/jeb.245393,Journal of Experimental Biology,Mammal,"Temperature, Interaction with non-climatic stressor",Adults,"Larvae or juveniles, Adults","Environmental tolerance and preference, Energetics and metabolism, Immune function and stress physiology, Development",Body temperature; food intake; body mass; gross energy intake; digestive energy intake; gross energy of feces; digestibility; litter size; litter mass; mean pup mass; resting metabolic rate; milk energy output; thyroid hormone levels; expression of T3 target genes,NA
Glazier_et_al_2020,2020,Temperature effects on metabolic scaling of a keystone freshwater crustacean depend on fish-predation regime,10.1242/jeb.232322,Journal of Experimental Biology,Other invertebrate,"Temperature, Interaction with non-climatic stressor",Mix (strictly after hatching),"Larvae or juveniles, Adults",Energetics and metabolism,oxygen consumption rate,NA
Watts_et_al_2018,2018,Effects of temperature on the timing of breeding and molt transitions in house finches,10.1242/jeb.185058,Journal of Experimental Biology,Bird,Temperature,Adults,Adults,Reproduction,testis length; cloacal protuberance length; circulating testosterone levels; onset of molt;,NA
DuRant_et_al_2016,2016,Incubation temperature causes skewed sex ratios in a precocial bird,10.1242/jeb.138263,Journal of Experimental Biology,Bird,Temperature,Embryos,"Embryos, Larvae or juveniles","Environmental tolerance and preference, Development",male:female ratio of ducklings; embryo mortality;,NA
Kuhlmann_Andersen_et_al_2024,2024,The freeze-avoiding mountain pine beetle (Dendroctonus ponderosae) survives prolonged exposure to stressful cold by mitigating ionoregulatory collapse,10.1242/jeb.247498,Journal of Experimental Biology,Insect,Temperature,Larvae or juveniles,Larvae or juveniles,"Environmental tolerance and preference, Osmoregulation",chill coma recovery time; survival; hemolymph Na+; hemolymph K+,NA
Rogerson_et_al_2023,2023,Incubation temperature alters stripe formation and head colouration in American alligator hatchlings and is unaffected by estradiol-induced sex reversal,10.1242/jeb.245219,Journal of Experimental Biology,Reptile,Temperature,Embryos,Larvae or juveniles,Development,total length; body mass;,NA
Lague_et_al_2020,2020,Cardiovascular responses to progressive hypoxia in ducks native to high altitude in the Andes,10.1242/jeb.211250,Journal of Experimental Biology,Bird,O₂/CO₂,Unclear,Unclear,"Energetics and metabolism, Cardiovascular physiology",oxygen consumption; heart rate; oxygen pulse; arterial oxygen content;,NA
Leivesley_and_Rollinson_2021,2021,Maternal provisioning and fluctuating thermal regimes enhance immune response in a reptile with temperature-dependent sex determination,10.1242/jeb.237016,Journal of Experimental Biology,Reptile,"Temperature, Interaction with non-climatic stressor",Embryos,"Embryos, Larvae or juveniles","Environmental tolerance and preference, Immune function and stress physiology, Development",egg mortality; hatching success; body mass; carapace length; bacteria killing ability;,NA
Wang_et_al_2015,2015,The impact of high-salt exposure on cardiovascular development in the early chick embryo,10.1242/jeb.129486,Journal of Experimental Biology,Bird,Salinity,Embryos,Embryos,"Environmental tolerance and preference, Cardiovascular physiology, Immune function and stress physiology, Development",cell proliferation; apoptosis; thickness of ventricular wall; trabecular muscle layers; mRNA expression in hearts; blood vessel density; blood vessel diameter; blood vessel number; blood island density; blood island number; ROS generation;,the salt was injected into the egg - unclear if this should then be included
Fisker_et_al_2014,2014,Effect of repeated freeze–thaw cycles on geographically different populations of the freeze-tolerant worm Enchytraeus albidus (Oligochaeta),10.1242/jeb.105650,Journal of Experimental Biology,Other invertebrate,Temperature,Unclear,Unclear,"Environmental tolerance and preference, Energetics and metabolism",freezing mortality; metabolic rate; glucose accumulation; glycogen reserves; total lipid content,NA
Pohlmann_et_al_2023,2023,Temperature and pressure dependency of oxygen consumption during long-term sustained swimming of European eels,10.1242/jeb.246095,Journal of Experimental Biology,Fish,"Temperature, Interaction with non-climatic stressor",Adults,Adults,Energetics and metabolism,oxygen consumption rate;,NA
Katzenback_et_al_2014,2014,"Regulation of the Rana sylvatica brevinin-1SY antimicrobial peptide during development and in dorsal and ventral skin in response to freezing, anoxia and dehydration",10.1242/jeb.092288,Journal of Experimental Biology,Amphibian,"Temperature, Humidity/Water availability, O₂/CO₂",Adults,Adults,Immune function and stress physiology,brevinin-1SY peptide quantification; antimicrobial activity;,NA
Yang_et_al_2013,2013,"Effects of reproduction on immuno-suppression and oxidative damage, and hence support or otherwise for their roles as mechanisms underpinning life history trade-offs, are tissue and assay dependent",10.1242/jeb.092049,Journal of Experimental Biology,Mammal,Temperature,Adults,"Embryos, Adults","Immune function and stress physiology, Reproduction","immune response; serum total IgG; mass of spleen and thymus, bactericidal capacity; MDA; protein carbonyls; SOD activity; GPx activity;  protein thiol; litter mass;",NA
van_Dis_et_al_2021,2021,Timing of increased temperature sensitivity coincides with nervous system development in winter moth embryos,10.1242/jeb.242554,Journal of Experimental Biology,Insect,Temperature,Embryos,Embryos,Development,developmental time; timing of hatching,NA
Cassidy_et_al_2018,2018,"Protein synthesis is lowered by 4EBP1 and eIF2-α signaling while protein degradation may be maintained in fasting, hypoxic Amazonian cichlids Astronotus ocellatus",10.1242/jeb.167601,Journal of Experimental Biology,Fish,O₂/CO₂,Adults,Adults,"Energetics and metabolism, Immune function and stress physiology",lactate level; glycogen level; protein pool; protein synthesis; phosphorylation levels; protease activity; polyubiquitinated proteins;,NA
Stancic_et_al_2013,2013,Regulatory role of PGC-1α/PPAR signaling in skeletal muscle metabolic recruitment during cold acclimation,10.1242/jeb.089334,Journal of Experimental Biology,Mammal,"Temperature, Interaction with non-climatic stressor",Adults,Adults,"Energetics and metabolism, Immune function and stress physiology","LDH activity; protein level of PGC-1α, PPARδ, PPARα, and PPARγ; expression of complex I, cytochrome c, and ATP synthase; protein expression of GAPDH, hexokinase II and PYGB; expression of ACADM and SCAS; AMPKα protein",NA
McCoy_et_al_2023,2023,A phenomics approach reveals interspecific differences in integrated developmental responses to chronic elevated temperatures,10.1242/jeb.245612,Journal of Experimental Biology,Other invertebrate,Temperature,Embryos,"Embryos, Larvae or juveniles","Energetics and metabolism, Development",timing of rotation; timing of crawling; timing of heart beat; timing of radula; timing of hatching; total energy;,NA
Cassidy_and_Lamarre_2019,2019,Activation of oxygen-responsive pathways is associated with altered protein metabolism in Arctic char exposed to hypoxia,10.1242/jeb.203901,Journal of Experimental Biology,Fish,O₂/CO₂,Larvae or juveniles,Larvae or juveniles,"Energetics and metabolism, Immune function and stress physiology",lactate; protein synthesis; protein degradation; relative levels of 17 mRNAs; phosphorylation levels,NA
Plesnar-Bielak_et_al_2013,2013,Complex response in size-related traits of bulb mites (Rhizoglyphus robini) under elevated thermal conditions – an experimental evolution approach,10.1242/jeb.090951,Journal of Experimental Biology,Insect,Temperature,Mix (before and after hatching),"Embryos, Adults",Development,egg size; adult body size; developmental time;,NA
Fabricio-Neto_et_al_2019,2019,Exposure to fluctuating temperatures leads to reduced immunity and to stress response in rattlesnakes,10.1242/jeb.208645,Journal of Experimental Biology,Reptile,Temperature,Adults,Adults,Immune function and stress physiology,corticosterone level; bacteria-killing ability; heterophil to lymphocyte ratio;,NA
Cadiz_et_al_2017,2017,Early exposure to chronic hypoxia induces short- and long-term regulation of hemoglobin gene expression in European sea bass (Dicentrarchus labrax),10.1242/jeb.160713,Journal of Experimental Biology,Fish,O₂/CO₂,Larvae or juveniles,Larvae or juveniles,"Immune function and stress physiology, Development",growth rate; gene expression of 11 hemoglobin genes;,NA
Sawall_et_al_2022,2022,Physiological responses and adjustments of corals to strong seasonal temperature variations (20–28°C),10.1242/jeb.244196,Journal of Experimental Biology,Other invertebrate,Temperature,Adults,Adults,"Energetics and metabolism, Development",photosynthesis; respiration; biomass,NA
Andersson_et_al_2018,2018,"Diet and ambient temperature interact to shape plasma fatty acid composition, basal metabolic rate and oxidative stress in great tits",10.1242/jeb.186759,Journal of Experimental Biology,Bird,"Temperature, Interaction with non-climatic stressor",Adults,Adults,"Energetics and metabolism, Immune function and stress physiology",fatty acids; metabolic rate; oxidative stress MDA; oxidative stress AOX;,NA
Sebastiani_et_al_2022,2022,Mild hypoxia exposure impacts peripheral serotonin uptake and degradation in Gulf toadfish (Opsanus beta),10.1242/jeb.244064,Journal of Experimental Biology,Fish,O₂/CO₂,Adults,Adults,"Energetics and metabolism, Osmoregulation",oxygen consumption rate; monoamine oxidase activity;,NA
Castro_et_al_2024,2024,The relevance of vascular adjustments to hemodynamic control in the face of temperature change in Crotalus durissus,10.1242/jeb.247724,Journal of Experimental Biology,Reptile,Temperature,Unclear,Unclear,"Energetics and metabolism, Cardiovascular physiology",O2 uptake; breathing frequency; cardiac pumping; blood flow; arterial pressure; pulmonary compliance; systemic conductance; pulmonary conductance; systemic time constant for diastolic pressure decay; pulmonary time constant for diastolic pressure decay,NA
Rosendale_et_al_2022,2022,Metabolomic and transcriptomic responses of ticks during recovery from cold shock reveal mechanisms of survival,10.1242/jeb.236497,Journal of Experimental Biology,Insect,Temperature,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism, Immune function and stress physiology",survival; transcriptomics; alanine; betaine; glutamate; glycine; lactate; valine,NA
Sheldon_et_al_2020,2020,Different amplitudes of temperature fluctuation induce distinct transcriptomic and metabolomic responses in the dung beetle Phanaeus vindex,10.1242/jeb.233239,Journal of Experimental Biology,Insect,Temperature,Adults,Adults,"Energetics and metabolism, Immune function and stress physiology",CO2 production rate; glycogen mass; lipid mass; transcriptomics; metabolomics;,NA
Clissold_et_al_2013,2013,Insect herbivores can choose microclimates to achieve nutritional homeostasis,10.1242/jeb.078782,Journal of Experimental Biology,Insect,"Temperature, Interaction with non-climatic stressor",Larvae or juveniles,Larvae or juveniles,"Energetics and metabolism, Development",carbohydrate absorbed; digestion efficiency; absorbed nutrients; dry mass;,NA
Wearing_et_al_2017,2017,Embryonic hypoxia programmes postprandial cardiovascular function in adult common snapping turtles (Chelydra serpentina),10.1242/jeb.160549,Journal of Experimental Biology,Reptile,O₂/CO₂,Embryos,Adults,"Cardiovascular physiology, Development",organ masses; cardiac output; heart rate; stroke volume; systemic blood flow; cardiac shunting;,NA
Taylor-Burt_et_al_2015,2015,Shiver me titin! Elucidating titin's role in shivering thermogenesis,10.1242/jeb.111849,Journal of Experimental Biology,Mammal,Temperature,Adults,Adults,Energetics and metabolism,metabolic rate;,NA
Ajayi_et_al_2021,2021,Rapid stress hardening in the Antarctic midge improves male fertility by increasing courtship success and preventing decline of accessory gland proteins following cold exposure,10.1242/jeb.242506,Journal of Experimental Biology,Insect,"Temperature, Humidity/Water availability",Adults,Adults,"Environmental tolerance and preference, Reproduction",survival; fertility; accessory proteins;,NA
Vo_Gridi-Papp_2017,2017,"Low temperature tolerance, cold hardening and acclimation in tadpoles of the neotropical tungara frog (Engystomops pustulosus)",10.1016/j.jtherbio.2017.03.012,Journal of Thermal Biology,Amphibian,Temperature,Larvae or juveniles,Larvae or juveniles,Environmental tolerance and preference,Thermal tolerance; thermal acclimation,NA
Wang_et_al_2017,2017,Proteomic analysis of physiological function response to hot summer in liver from lactating dairy cows,10.1016/j.jtherbio.2017.02.010,Journal of Thermal Biology,Mammal,Temperature,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism",protein metabolic processes and responses to stimuli; oxidation reduction,Proteomic analysis in liver from lactating dairy cows
Ngula_et_al_2017,2017,Effects of heat stress on some reproductive parameters of male cavie (Cavia porcellus) and mitigation strategies using guava (Psidium guajava) leaves essential oil,10.1016/j.jtherbio.2017.01.001,Journal of Thermal Biology,Mammal,"Temperature, Interaction with non-climatic stressor",Adults,Adults,Reproduction,"sperm count; sperm morphology; sperm DNA integrity; biochemical estimation of proteins, nitric oxide (NO), glutathione (GSH), superoxide dismutase (SOD) and malondialdehyde (MDA)",NA
Zena_et_al_2017,2017,"Acute effects of temperature and hypercarbia on cutaneous and branchial gas exchange in the South American lungfish, Lepidosiren paradoxa",10.1016/j.jtherbio.2016.12.001,Journal of Thermal Biology,Fish,"Temperature, O₂/CO₂",Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism",Aquatic gas exchange at different temperatures; Aquatic gas exchange during aerial hypercarbia at 25 °C; Gill ventilation rate during aquatic hypercarbia at 25 °C,NA
Aminoroaya_et_al_2016,2016,Effect of cyclical cold stress during embryonic development on aspects of physiological responses and HSP70 gene expression of chicks,10.1016/j.jtherbio.2016.08.008,Journal of Thermal Biology,Bird,Temperature,Embryos,Larvae or juveniles,"Environmental tolerance and preference, Development, Other","Effect of cyclical lower incubation temperatures on body, liver and heart weights and hatchability; Effect of cyclical lower incubation temperatures on biochemical components; HSP70 gene expression",NA
Ayhan_et_al_2016,2016,"Altitudinal variation in lifespan of Drosophila melanogaster populations from the Firtina Valley, northeastern Turkey",10.1016/j.jtherbio.2016.09.002,Journal of Thermal Biology,Insect,"Temperature, Interaction with non-climatic stressor",Adults,Adults,Environmental tolerance and preference,lifespan in both sexes from six populations across two temperatures;,NA
Kamanli_et_al_2015,2015,"Effect of prenatal temperature conditioning of laying hen embryos: Hatching, live performance and response to heat and cold stress during laying period",10.1016/j.jtherbio.2015.04.001,Journal of Thermal Biology,Bird,Temperature,"Embryos, Larvae or juveniles",Larvae or juveniles,"Environmental tolerance and preference, Immune function and stress physiology, Other",Hatching performance; body weight; egg production; plasma triiodothyronine (T-3) and thyroxine (T-4) levels; oxidant and antioxidant activities;,NA
Wang_et_al_2013,2013,Role of BKCa channels in vascular smooth muscle during the development of environmental cold-induced hypertension,10.1016/j.jtherbio.2013.01.001,Journal of Thermal Biology,Mammal,Temperature,Adults,Adults,Environmental tolerance and preference,BKCa channel alpha-subunit mRNA; blood pressure; cold-induced hypertension,NA
Masroor_et_al_2019,2019,Effect of salinity and temperature on the expression of genes involved in branchial ion transport processes in European sea bass,10.1016/j.jtherbio.2019.102422,Journal of Thermal Biology,Fish,"Temperature, Salinity",Larvae or juveniles,Larvae or juveniles,Osmoregulation,mRNA expression levels of main genes involved in ion transport,NA
Duarte_et_al_2019,2019,Effect of temperature on survival and cuticular composition of three different ant species,10.1016/j.jtherbio.2019.02.005,Journal of Thermal Biology,Insect,Temperature,Adults,Adults,Environmental tolerance and preference,survival rate; cuticle hydrocarbons (CHCs) and fatty acids variation,NA
kumar_et_al_2018,2018,Dietary L-Tryptophan potentiates non-specific immunity in Labeo rohita fingerlings reared under elevated temperature,10.1016/j.jtherbio.2018.03.010,Journal of Thermal Biology,Fish,"Temperature, Interaction with non-climatic stressor",Larvae or juveniles,Larvae or juveniles,"Environmental tolerance and preference, Energetics and metabolism, Development",Plasma biochemical parameters; histopathological changes in liver and kidney;,NA
Siddiqui_et_al_2017,2017,Selection and inheritance of developmental variants of Propylea dissecta under thermal stress conditions,10.1016/j.jtherbio.2017.08.012,Journal of Thermal Biology,Insect,Temperature,"Larvae or juveniles, Adults","Larvae or juveniles, Adults","Environmental tolerance and preference, Reproduction, Development",Developmental speed (slow vs. fast developers); Adult body mass; Survival ratio; Emergence ratio; Population-level thermal response,NA
Johnson_et_al_2016,2016,Effects of rapid temperature fluctuations prior to breeding on reproductive efficiency in replacement gilts,10.1016/j.jtherbio.2016.08.003,Journal of Thermal Biology,Mammal,Temperature,Adults,Adults,"Environmental tolerance and preference, Reproduction",total fetus number and viability; reproductive success,NA
